record_id,first_name,last_name,address,email_address,product_sku,product_quantity
934653,Kim,Hogan,"0391 Robert Manor Apt. 865, Tracyland, IN 92005",andrew16@example.com,4898,3
334676,Gregory,Potts,"USS Hardin, FPO AP 91694",lpatterson@example.org,8530,2
592644,Hannah,Estes,"36284 Atkinson Mount, North Justinside, NV 29607",charlesthompson@example.com,1909,2
716513,Grace,Martin,"PSC 5785, Box 5934, APO AE 28606",melissa20@example.com,7202,1
177680,Lauren,Jones,"905 Esparza Greens, New Tracy, CO 27093",sarahgomez@example.net,1533,10
345857,Melissa,Kent,"4678 Guerrero Heights Suite 339, Williamfort, WI 36018",rodney92@example.org,9289,5
877491,Tina,Chaney,"1086 Freeman Vista Suite 038, Sullivanport, NC 90473",fclements@example.org,3179,10
325273,Kaylee,Hendrix,"710 Maurice Oval, North Michaelfort, MS 65477",huntershelby@example.net,9297,6
732850,Leslie,Robinson,"24401 Walker Squares, Jamesburgh, NM 52561",milesrobert@example.com,1520,10
160100,Robert,Hernandez,"USNV Rush, FPO AE 51781",qarnold@example.com,4569,4
668851,Jeffery,Brown,"00717 Gabriel Plaza Apt. 026, Castillomouth, TX 51589",carolyn83@example.org,4260,7
625501,Karen,Woods,"7924 Mcfarland Way Apt. 220, Port Charlenehaven, MP 92951",marquezderek@example.net,7370,6
779110,Christian,Gonzalez,"723 Crane Point, Port Markview, WI 58846",johnsoncynthia@example.org,5138,3
994390,Laura,Hernandez,"007 Atkins Fort Apt. 238, New Conniefort, RI 21920",loganboyd@example.com,4324,1
992609,Ann,Mclaughlin,"84977 Freeman Centers, Port Kimberlyville, NH 24776",ryan77@example.com,4443,6
789303,Jacob,Marquez,"Unit 8854 Box 2443, DPO AE 41301",jromero@example.net,3692,9
388827,Lisa,Mathis,"4931 Thomas Manor, Kelseyview, FM 67502",shermanjoshua@example.org,6056,4
694209,Linda,Nash,"503 Linda Lock Suite 222, East Christianside, OH 58414",denise47@example.org,5975,9
679092,Bryan,Anderson,"763 Mitchell Rapids, Port Lesliemouth, ID 54959",thomasnelson@example.net,3224,8
574256,Joshua,Chavez,"9282 Robert Plains Apt. 460, Cameronshire, PA 71227",fieldsterri@example.net,6895,1
320651,Barbara,Johnson,"88854 Christopher Landing Suite 821, New Juliamouth, RI 24217",jillian46@example.net,4154,5
