record_id,first_name,last_name,address,email_address,product_sku,product_quantity
934653,Dennis,Riggs,"57160 Schroeder Trace Suite 654
South Jamesberg, UT 21935",colinlewis@example.net,978-0-89991-148-9,3
334676,Matthew,Yates,"Unit 0115 Box 5562
DPO AE 86934",nleon@example.org,978-0-623-37541-9,2
592644,Dawn,Padilla,"760 Norton Shoals Apt. 748
Gainesside, CO 80387",reynoldsjohn@example.net,978-0-530-09701-5,2
716513,Mary,Pham,"034 Dawn Fields
West Gail, WV 19053",dianebernard@example.org,978-1-80632-138-4,1
177680,Angela,Barton,"Unit 0239 Box 9940
DPO AE 96343",lopezkelly@example.net,978-0-15-234821-2,10
345857,Sandra,Kaiser,"725 Sophia Mall Apt. 188
Willisport, UT 50598",kimberlysimpson@example.com,978-1-254-21590-7,5
877491,Nancy,Hicks,"9354 Darrell Lock Suite 165
Andersonhaven, MO 04876",anthony64@example.net,978-1-4464-7422-8,10
325273,Karen,Torres,"PSC 3029, Box 7284
APO AP 24621",jeffreyduncan@example.org,978-0-493-90106-0,6
732850,Stacey,Kennedy,"34480 Richardson Prairie Apt. 147
Andrewview, VT 62961",wooddaniel@example.org,978-1-244-37150-7,10
160100,Morgan,Bailey,"77758 Angela Burg Apt. 217
Port Emmashire, NJ 19273",kevinhall@example.net,978-1-02-515642-2,4
668851,Wendy,Cox,"7500 Brianna Lake
Henrymouth, CO 88245",andrewburns@example.com,978-0-7027-5957-4,7
625501,Jim,Patterson,"40224 Anthony Flats Suite 664
Ortegachester, ID 80411",michaelcolon@example.org,978-0-560-69054-5,6
779110,Kevin,Herrera,"574 Hayes Mount
New Suzannefort, DE 42231",mary38@example.org,978-1-918770-03-2,3
994390,Alexandra,Roberts,"022 Katie Island Apt. 865
Port Katelynview, FM 94134",lmeyers@example.org,978-0-246-02427-5,1
992609,Jason,Livingston,"USNS Freeman
FPO AP 55787",sandraarcher@example.org,978-0-86956-222-2,6
789303,Jacqueline,Lopez,"1528 Emily Street
Gregorymouth, AZ 09075",anna26@example.org,978-0-349-12598-5,9
388827,Cynthia,Guerrero,"75270 Ross Valleys
Rileybury, NH 64739",gwallace@example.org,978-0-916973-52-0,4
694209,Jack,Ramos,"4530 Mark Ramp Suite 446
Joshuaville, NY 21675",guerrerorichard@example.org,978-0-18-227417-8,9
679092,Peter,Marshall,"15528 Long Hollow Apt. 995
Ashleyton, SD 06471",yrivera@example.org,978-0-7331-6393-7,8
574256,Katie,Gillespie,"293 Bentley Stream
Marcfort, FM 09447",laura98@example.org,978-0-623-74644-8,1
320651,Angela,Washington,"07249 Jones Forges
Peterstown, IN 28534",camachonathan@example.net,978-0-583-60087-3,5
954191,Patrick,Martinez,"186 Collins Street Apt. 255
Port Kristen, FM 97193",samuel70@example.org,978-0-377-74755-5,9
257011,David,Conway,"179 Caleb Brook Suite 102
Elliotthaven, MI 13396",laurenhall@example.net,978-1-377-15167-0,9
308220,Tammy,Bowman,"305 Ryan Dale
Lewisfort, SD 33269",palmersandra@example.com,978-1-347-61775-5,1
659830,Joseph,Hill,"8585 Love Haven
Lewisland, MI 19752",christophermitchell@example.net,978-0-14-180850-5,6
540347,Paula,Moreno,"307 Martin Cliffs
North Danielle, MN 65964",orodriguez@example.org,978-1-238-90254-0,7
325375,Ashley,Cochran,"528 Angela Rue
Reneemouth, IL 70152",matthew67@example.net,978-1-79152-751-8,1
559032,Walter,Brown,"8746 Robert Stravenue Suite 052
Lindseytown, ME 88082",fwilcox@example.com,978-1-64226-796-9,7
498076,Deborah,Herman,"73216 Tanya Wall
Johnbury, PA 51766",francis53@example.com,978-1-172-97260-9,9
